iso3,country,region,income_group,growth24,lngdppc23,gcf23,highinc,infl23,unemp23,trade23,popgrow23,gdppc23,gdppc24
ABW,Aruba,Latin America & Caribbean ,High income,6.181750775592931,10.372336654651042,18.3808626720902,1,,,153.719158343959,0.0456516784920034,31963.0764505349,33938.9541769192
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,-0.9759153047034785,5.935069585324131,15.2924823859473,0,-4.64470870797775,14.008,66.9995780621951,2.13559384981397,378.06630312259,374.37669620849
AGO,Angola,Sub-Saharan Africa ,Lower middle income,1.8058503362233136,7.918975016038248,12.4388656074311,0,13.6441017767715,14.051,53.6070126498686,3.08065530722915,2748.95196954248,2798.59392792708
ALB,Albania,Europe & Central Asia,Upper middle income,5.557292546370918,8.733019679172903,23.4392861436214,0,4.75834555150038,10.669,82.3524933990723,-1.64410790425763,6204.43525612114,6549.23387415397
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,-0.7660140642296476,10.64367520911643,26.6386668902392,1,1.62670837213248,2.151,199.044950127107,3.97717097504667,41926.5773498407,41605.4138706908
ARG,Argentina,Latin America & Caribbean ,Upper middle income,-1.6835270052874995,9.472173178879085,19.3822632919135,0,133.488935594175,6.139,26.6769512482215,0.286976121920089,12993.0928872416,12774.3506596628
ARM,Armenia,Europe & Central Asia,Upper middle income,3.4842162523061715,8.555882049724369,22.9413054452812,0,1.98041877615554,12.405,123.418750077627,-0.165163937436499,5197.23509013575,5378.31799981682
AUS,Australia,East Asia & Pacific,High income,-0.6185658614620726,11.03277585891089,23.873104248989,1,5.59701792296707,3.668,49.044339318428,2.43450716351535,61869.082498576,61486.38147544
AUT,Austria,Europe & Central Asia,High income,-1.1593777869463695,10.747162675814796,26.0041363951547,1,7.81413417002831,5.264,115.152914822732,0.989464653969154,46497.9114640341,45958.8250071261
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,3.65914632279567,8.642699254361219,17.7431851628057,0,8.78543049849081,5.64,83.5358861156321,0.120242150339289,5668.61021317029,5876.03295533913
BEL,Belgium,Europe & Central Asia,High income,0.42712265065751875,10.710593297044216,25.2961910988566,1,4.04901077613941,5.547,165.987440736442,0.850263748167955,44828.2274521244,45019.6989654607
BEN,Benin,Sub-Saharan Africa ,Lower middle income,4.840178690827046,7.141737149633336,34.5306621756362,0,2.73870078406075,1.641,44.6631308180211,2.52274772277722,1263.62158336368,1324.78312597434
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,2.505655661824635,6.613928143738638,20.264268940383,0,0.742910428668918,3.601,63.1530435873964,2.26973666268599,745.405334618409,764.082625588818
BGD,Bangladesh,South Asia,Lower middle income,2.964998379549,7.541883258170298,30.9512000834944,0,9.8835030377921,3.352,30.9829714104596,1.22171475464107,1885.37733613545,1941.27874360025
BGR,Bulgaria,Europe & Central Asia,High income,3.4701502038968046,9.188888426097868,19.7877556466321,1,9.44284140088564,4.319,119.899505851916,-0.286577641861364,9787.76510584614,10127.4152566236
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,2.145068639019576,10.140242947499639,29.168098874443,1,0.0746206782192256,1.049,157.447854682297,3.37686417721007,25342.6226641572,25886.2393152311
BHS,"Bahamas, The",Latin America & Caribbean ,High income,2.9038712346300066,10.40455508910712,22.8631485204272,1,3.05291578969743,8.645,76.5494751592857,0.477303918283875,33009.645615121,33968.2032187918
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,3.906006540362217,8.778529851948015,27.0434003535468,0,6.1059011284828,10.668,99.6330317954442,-0.617510129445164,6493.32400514463,6746.95366547249
BLR,Belarus,Europe & Central Asia,Upper middle income,4.871813262913016,8.779216552680667,24.7116791837371,0,5.0005990309131,3.461,131.584674884961,-0.540824986374776,6497.78450683592,6814.34443423546
BLZ,Belize,Latin America & Caribbean ,Upper middle income,2.0240834732835777,8.726756004273785,18.9112096493515,0,4.38984017487675,8.278,106.400505850771,2.05772774277288,6165.69414825936,6290.49294452749
BMU,Bermuda,North America,High income,1.9859616194936702,11.646097752286563,11.2150851626763,1,,,77.6465295570053,-0.0787967316952785,114244.681047132,116513.536565041
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,-2.470746043963934,8.046475865841769,18.9835359683279,0,2.57688800489192,3.024,49.6083255594597,1.37334382280772,3122.77049466223,3045.61476620329
BRA,Brazil,Latin America & Caribbean ,Upper middle income,3.000832918921925,9.136481431933003,15.7606472065087,0,4.59356282283204,7.947,33.6662298301438,0.395928695574996,9288.02701470069,9566.74518687619
BRN,Brunei Darussalam,East Asia & Pacific,High income,3.204303818815335,10.262767858456911,29.6282073672206,1,0.35706431153689,5.296,136.86343465048,0.782881746925984,28645.9645396284,29563.8682753082
BTN,Bhutan,South Asia,Lower middle income,6.800623520553883,8.154935230036719,45.2657364801262,0,4.22934419929251,3.126,81.7366278539811,0.698146584889649,3480.51388523184,3717.21053114706
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,-4.35688196423839,8.891381122768536,30.1423262091485,0,5.0676154934383,23.381,70.1128327324509,1.64031664035479,7269.05170664457,6952.34770386661
CAF,Central African Republic,Sub-Saharan Africa ,Low income,-1.8943642394991245,5.985113913832336,23.7477562200269,0,2.97913852618937,6.181,43.480570208358,1.06107453184959,397.467795750451,389.938307964229
